# TG61 Table X.
# Free-in-air ratios of mass energy-absorption coefficients of 
# biological tissue to water for application in conjunction with 
# the in-air method.
# The data are for SSD=50cm. Except for bond, these values
# can be used as $C_w^med$ as defined in Eq. (12). See TG 61 for details.
#
# Columns are defined as below:
Material HVL SoftTissue StriatedMuscle Lung Skin CompactBone

Al 0.3 0.917 1.016 1.031 0.890 4.200
Al 0.4 0.918 1.020 1.035 0.893 4.289
Al 0.5 0.919 1.022 1.037 0.895 4.335
Al 0.6 0.920 1.024 1.039 0.897 4.382
Al 0.8 0.921 1.028 1.043 0.901 4.475
Al 1.0 0.923 1.031 1.046 0.904 4.494
Al 1.2 0.925 1.031 1.046 0.907 4.469
Al 1.5 0.927 1.032 1.047 0.910 4.427
Al 2.0 0.930 1.032 1.047 0.915 4.350
Al 3.0 0.934 1.032 1.045 0.922 4.179
Al 4.0 0.939 1.030 1.042 0.929 3.975
Al 5.0 0.943 1.028 1.039 0.935 3.769
Al 6.0 0.947 1.026 1.036 0.940 3.557
Al 8.0 0.955 1.021 1.030 0.950 3.133
Cu 0.1 0.934 1.032 1.045 0.921 4.209
Cu 0.2 0.942 1.029 1.040 0.934 3.808
Cu 0.3 0.947 1.026 1.036 0.940 3.561
Cu 0.4 0.952 1.023 1.032 0.946 3.314
Cu 0.5 0.956 1.020 1.029 0.952 3.068
Cu 0.6 0.960 1.018 1.026 0.957 2.859
Cu 0.8 0.964 1.015 1.022 0.961 2.657
Cu 1.0 0.967 1.012 1.018 0.965 2.456
Cu 1.5 0.975 1.006 1.009 0.975 1.952
Cu 2.0 0.981 1.001 1.003 0.980 1.637
Cu 3.0 0.986 0.996 0.997 0.985 1.280
Cu 4.0 0.988 0.994 0.994 0.987 1.128
Cu 5.0 0.990 0.992 0.992 0.989 1.026
